,Angola,Australia,British_Virgin_Islands,Cameroon,Central_African_Republic,Comoros,Democratic_Republic_of_the_Congo,Dominican_Republic,El_Salvador,French_Polynesia,Gabon,Haiti,Honduras,Mauritius,Mayotte,Mexico,Micronesia,New_Caledonia,Nicaragua,Nigeria,Panama,Papua_New_Guinea,Puerto_Rico,Reunion,Saint_Lucia,Senegal,Seychelles,South_Africa,Tanzania,Tonga,Trinidad_and_Tobago,USA
Angola,,0.0151494880703,0.0117320128247,0.0391178124803,0.19264738097,0.0298502450694,0.0755208880075,0.0221336508551,0.0184577034227,0.0157313604676,0.0173385318726,0.0155545969792,0.0155422622866,0.0489288134833,0.0240507192198,0.0352567219939,0.00987418327589,0.0165734314863,0.0148789190193,0.0131164507533,0.0152760473045,0.0240663978457,0.0159569128586,0.053605536911,0.015071300318,0.0369762601458,0.0338889729169,0.0142398220454,0.0712243715882,0.0189605430788,0.0210318550515,0.0248936766846
Australia,0.0383159019988,,0.0198866464291,0.0400628692538,0.0613110443331,0.0138367908065,0.0359798508265,0.0280958139871,0.016950373464,0.0302959253034,0.0368006204158,0.0459396492684,0.0315878515358,0.0317810716086,0.0962268205897,0.0390433129188,0.0208426159178,0.0213003798878,0.0322131108844,0.0227179065491,0.0135590786996,0.121311104704,0.0606245476361,0.0353574855391,0.026095925615,0.0649596892424,0.0401193078075,0.0285553869208,0.0570581740016,0.0171914227267,0.035937762971,0.0530667226957
British_Virgin_Islands,0.0451257633711,0.0196572514154,,0.021325779808,0.0366136572989,0.0239113935952,0.0389199600172,0.164084985894,0.059450344832,0.0758339368946,0.0314903834819,0.0524456442764,0.0278755285545,0.0284612800325,0.0404393514227,0.0235750931918,0.105489190175,0.027139511628,0.0342028909064,0.0306888415941,0.045479835558,0.0356196198929,0.0652522862668,0.041173900882,0.0602235046098,0.0356260630152,0.0268714934342,0.0405681019443,0.0392465560966,0.0245798059902,0.0779129586814,0.0316140664455
Cameroon,0.0340707089929,0.0165360309101,0.0172944351383,,0.0515543062482,0.0148881134762,0.0865249158604,0.0193869555658,0.010595531193,0.00635910922115,0.898544721298,0.0146738819314,0.0258125975861,0.0236814946629,0.0124144821392,0.0147472405459,0.0244505415849,0.0160034699248,0.0181738112405,0.0101854083041,0.0259580739691,0.0161084663842,0.012485388078,0.0433913115196,0.0211253533693,0.0318268381458,0.0187854787608,0.0337764907867,0.0736375647431,0.00759961807354,0.0208506430937,0.0108154752035
Central_African_Republic,0.501333910938,0.00333732059746,0.00597106700838,0.0223911139395,,0.0299746176388,0.156682064183,0.00818090071395,0.00497494348576,0.00524503815259,0.0106302381378,0.0117083281172,0.00367014857973,0.0286272214802,0.00885481659043,0.0135652480526,0.00415236640315,0.00483109437221,0.00924541487993,0.010737745474,0.0101237666407,0.0115689604536,0.00836395201335,0.157052594723,0.00589175550277,0.0153874643326,0.0415391312961,0.0111345995954,0.0613073913052,0.00457867821513,0.00803021334551,0.0259169060383
Comoros,0.0445913021635,0.0296495140838,0.0262358352765,0.0319804907796,0.0351192354271,,0.0617947282022,0.020710886832,0.0194759590919,0.0426023964272,0.0226750347264,0.022161948061,0.0224019257722,0.0701080764439,0.0328188331736,0.0263166786314,0.0252636642328,0.0451663197619,0.0170335681568,0.0299357501112,0.0354399977937,0.0330634773116,0.0289769838394,0.0754711919915,0.0197745072012,0.0542154175693,0.411473751859,0.0328081782941,0.0563290754772,0.0117932461531,0.0351512433833,0.229673734789
Democratic_Republic_of_the_Congo,0.0569457495804,0.0135875952966,0.00927446398299,0.63244816015,0.0832749863989,0.0135366428746,,0.0111812910631,0.0171438543276,0.0231829284748,0.126079858512,0.0100570523502,0.024456460477,0.0739513983992,0.0134416033356,0.0155425007414,0.00910095065203,0.00750303942166,0.00967015105559,0.0161658881647,0.0231373161519,0.00891572379486,0.0160900630773,0.068036072123,0.0124533440832,0.0339647141609,0.0314956674004,0.0205683568976,0.08752490734,0.0110904783926,0.0097603981508,0.0260339928805
Dominican_Republic,0.0404189765885,0.024999345075,0.115669797703,0.0147985838131,0.0463318538517,0.072110653777,0.0394237939925,,0.0444722696562,0.055330187486,0.0274119552288,0.048497056292,0.069889114997,0.0249564952958,0.0212303861397,0.121260939112,0.0887838241112,0.0525922437052,0.0842767276507,0.0282818693289,0.0447680599516,0.0400713840391,0.100246998439,0.0276118743444,0.148605796891,0.0533044673371,0.0248666146396,0.0316696451845,0.0361934081429,0.0493231992774,0.106352818406,0.0711945745713
El_Salvador,0.0287923109954,0.0256520752627,0.108088250677,0.0346655950658,0.0357750035131,0.0425111512878,0.0401049713613,0.0384822131099,,0.0574985695878,0.0255822075531,0.0567325588894,0.0801670006775,0.0225247768096,0.0355200068417,0.0392617699202,0.0680338119368,0.116146044667,0.0848739281746,0.0189707889905,0.076086503715,0.0271431226638,0.172175899873,0.0344118802889,0.146038135737,0.0501976708225,0.0393992367989,0.0397554743395,0.0396145050432,0.0685747001476,0.0752668032705,0.0661831030144
French_Polynesia,0.0520233352933,0.0211191011444,0.087747589663,0.0322290702122,0.047636338829,0.0193030163423,0.0377767111008,0.206928926975,0.110918567054,,0.0296999877524,0.154527557775,0.0829723291564,0.0347815081293,0.0285902794983,0.0975747058654,0.135554183845,0.13192216925,0.106661530772,0.0133783218846,0.0393220495877,0.0231917947417,0.180057387195,0.0496288824494,0.123919117001,0.0448616107495,0.0346126275339,0.0627908387348,0.0396976857845,0.13423642212,0.112910283093,0.113560687771
